,,,,"Estimated worldwide locations of nuclear weapons 2017"
"Country","Base/location","Region","Weapon system","Remarks"
"Belgium","Kline Brogel AB","Limburg","B61-3/4","US bombs for delivery by Belgian F-16s of the 10th Fighter Wing. Weapons in custody of US 701st MUNSS"
"Subtotal","1"," "," "," "
"Chinaa","22 Base (Baoji area)","Shaanxi","Various","Central warhead storage site"
" ","51 Base (Shenyang area)","Liaoning and Shandong","DF-21/DF-31 SSMs","Regional storage site for 806, 810, 816, and 828 Missile Brigades"
" ","52 Base (Huangshan and Tunxi areas)","Anhui, Jiangxi, Zhejiang","DF-15/DF-21 SSMs","Regional warhead storage site for 807, 811, 815, 817, 819, and 820 Missile Brigades"
" ","53 Base (Kunming and Liuzhou areas)","Yunnan, Guangxi","DF-21 SSMs","Regional warhead storage site for 802, 808, and 821 Missile Brigades"
" ","54 Base (Luoyang area)","Henan","DF-4, DF-5A/B, DF-26, DF-31A SSMs","Regional warhead storage site for 801, 804, 813, and 827 Missile Brigades"
" ","55 Base (Huaihua area)","Hunan","DF-4, DF-5A/B, DF-31A SSMs","Regional warhead storage site for 803, 805, and 814 Missile Brigades"
" ","56 Base (Xining area)","Gansu and Qinghai","DF-21 and DF-31A SSMs","Regional storage site for 809, 812, and 823 Missile Brigades"
" ","Jianggezhuang NSB area","Shandong","JL-2 SLBMs","Possible warhead storage site for JL-2 SLBMs and Jin SSBNsb"
" ","Mianyang","Sichuan","Various","Warhead design. CAEP"
" ","Pingtung area","Sichuan","Various","Nuclear weapons fabrication. Possible underground storage site deep in the mountains near Mianyang (Institute of Materials)"
" ","Longpo (Yulin) NSB area","Hainan","JL-2 SLBMs","Possible warhead storage site for JL-2 SLBMs on Jin SSBNs"
" ","Zitong area","Sichuan","Various","Warhead assembly, disassembly, and dismantlement. Possibly China’s “Pantex Plant”c"
"Subtotal","12"," "," "," "
"France","Avord AB","Centre","TNA, ASMPA ALCM","Storage and maintenance site for ASMPA"
" ","Centre d’Etudes de Valduc (Lery, north of Dijon)","Bourgogne","TN75, TNA, TNO","Warhead assembly, disassembly, and dismantlement"
" ","Ile Longue NSB","Bretagne","TN75, TNO (replacing TN75), M51 SLBMs","For 4 Triomphant-class SSBNs"
" ","Istres AB","Provence","TNA, ASMPA ALCM","For Mirage-2000N fighter-bombers. To be replaced with Rafale K3"
" ","Saint-Dizier AB","Champagne-Ardenne","TNA, ASMPA ALCM","For Rafale K3 fighter-bombers. Might also store weapons for Rafale MK3 on Charles de Gaulle aircraft carrier based in Toulon NB"
" ","Saint-Jean, south of Ile Longue","Bretagne","TN75, TNO (replacing TN75)","Warhead storage site for M51 SLBMs at nearby SSBN base"
"Subtotal","6"," "," "," "
"Germany","Büchel AB","Rheinland-Pfalz","B61-3/4","US bombs for delivery by German PA-200 Tornados of the 33rd Tactical Air Force Squadron. Weapons in custody of US 702nd MUNSS"
"Subtotal","1"," "," "," "
"Indiad","Chandighar Plant","Punjab","Various","Possible warhead production"
" ","Jodhpur facility","Rajasthan","Prithvi/Agni SSMs","Potential storage facility for Prithvi and/or Agni SSMs and/or warheads"
" ","Unknown Air Force storage facilitiese","Unknown","Bombs","For potential use by Jaguar IS at Ambala and Gorakhpur ABs and Mirage 2000H at Gwalior AB"
" ","Unknown Army storage facilitiesf","Unknown","Prithvi/Agni SSMs","For use by 222nd and 333rd Missile Groups (Prithvi), and 334th and 335th Missile Groups (Agni)"
" ","Unknown Navy facilityg","Unknown","Dhanush ShLBM, K-15 SLBM","For use by 2 Sukanya patrol ships and 1 Arihant SSBN"
