"Type","NATO designation","Number of launchers","Year deployed","Range (kilometers)","Warhead x yield1 (kilotons)","Number ofwarheads"
"Land-based ballistic missiles"," "," "," "," "," "," "
"DF-4","CSS-3","5","1980","5,500+","1 x 3,300","10"
"DF-5A","CSS-4 Mod 2","10","1981","13,000","1 x 4,000–5,000","10"
"DF-5B","CSS-4 Mod 3","10","2015","13,000","3 x 200–300","30"
"DF-5C","?","n.a.","(2020)","?","?","n.a."
"DF-15","CSS-6","?","1990","600","1 x ?","?2"
"DF-21","CSS-5 Mods 2, 6","40","2000, 2016","2,150","1 x 200–300","803"
"DF-26","?","68","(2017)","4,000","1 x 200–300","344"
"DF-31","CSS-10 Mod 1","6","2006","7,200","1 x 200–300","6"
"DF-31A","CSS-10 Mod 2","24","2007","11,200","1 x 200–300","24"
"DF-31AG","(CSS-10 Mod 3?)5","24","(2017)","11,200","1 x 200–300","24"
"DF-41","CSS-X-20","n.a.","?","?","n.a.","n.a."
"Subtotal"," ","187"," "," "," ","2186"
"Submarine-launched ballistic missiles"," "," "," "," "," "," "
"JL-2","CSS-N-14","48(72)7","(2016)","7,000+","1 x 200–300","48"
"Aircraft"," "," "," "," "," "," "
"H-6K8","B-6","20","1965/2009","3,100+","1 x bomb","20"
" "," "," "," "," ","(1 x ALBM)","n.a."
"Fighters9","?","?","?","n.a","1 x bomb","?"
"Cruise missiles10"," "," "," "," "," "," "
"Total"," ","255"," "," "," ","~29011"
