"Type","NATO designation","Number of launchers1","Year deployed","Range (kilometers)","Warheads x yield2(kilotons)","Warheads"
"Land-based ballistic missiles"," "," "," "," "," "," "
" DF-4","CSS-3","63","1980","5,500","1 x 3,300","6"
" DF-5A","CSS-4 Mod 2","10","1981","12,000","1 x 4,000–5,000","10"
" DF-5B","CSS-4 Mod 3","10","2015","13,000","5 x 200–300","50"
" DF-5 C","(CSS-4 Mod 4)","..","(2020)","13,000","(MIRV)",".."
" DF-15","CSS-6","..","1990","600","1 x ?4",".."
" DF-17","?","(18)5","(2021)","1,800+","1 x HGV6",".."
" DF-21A/E","CSS-5 Mods 2, 6","40","2000, 2016","2,100+7","1 x 200–300","408"
" DF-26","?","1009","2016","4,000","1 x 200–300","2010"
" DF-31","CSS-10 Mod 1","6","2006","7,200","1 x 200–300","6"
" DF-31A","CSS-10 Mod 2","36","2007","11,200","1 x 200–300","36"
" DF-31AG","CSS-10 Mod 211","36","2018","11,200","1 x 200–300","36"
" DF-41","CSS-X-20","(18)12","(2021)","12,000","(3 x 200–300)","(54)"
" Subtotal:"," ","244 (280)"," "," "," ","204 (258)"
,"Submarine-launched ballistic missiles"," "," "," "," "," "
" JL-2","CSS-N-14","4/48","2016","7,000+","1 x 200–300","48"
" "," ","(2/24)13","(2021)","7,000+","1 x 200–300","(24)"
" Aircraft 14"," "," "," "," "," "," "
" H-615","B-6","20","1965/2009","3,100+","1 x bomb","20"
" "," "," "," "," ","(1 x ALBM)","n.a."
"Total"," ","312 (372)"," "," "," ","272 (350) 16"
