"Locations","Divisions","Regiments (Coordinates)","Missiles*","Status"
"Barnaula","35th MD","307th MR (53.3128, 84.5080)479th GMR (53.7709, 83.9580)480th MR (53.3054, 84.1459)867th GMR (53.2255, 84.6706)","9 SS-25 TEL(9 SS-27 Mod 2 TEL)9 SS-25 TEL9 SS-25 TEL","ActiveUpgradingActiveActive"
"Dombarovsky","13th MD","3 regiments (51.1766, 60.2224)b1 regiment","18 SS-18 Silos2 SS-19 Mod 4 silosc","ActiveActive"
"Irkutsk","29th GMD","92nd GMR (52.5085, 104.3933)344th GMR (52.6694, 104.5199)586th GMR (52.5505, 104.1584)","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"Kozelsk","28th GMD","74th MR (53.7982, 35.8039)168th MR (54.0278, 35.4589)","14 SS-27 Mod 2 silos(10) SS-19 silos","ActivePossibly actived"
"Novosibirske","39th GMD","357th GMR (55.3270, 82.9417)382nd GMR (55.3181, 83.1676)f428th GMR (55.3134, 83.0291)Former 773 GMR (55.3810, 82.9182)g","9 SS-27 Mod 2 TELh9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActiveEmpty"
"Nizhny Tagil","42nd MD","308th MR (58.2298, 60.6773)433rd MR (58.1015, 60.3592)804th MR (58.1372, 60.5366)","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"Tatishchevo","60th MD","6 regiments (51.8062, 45.6550)1–2 SS-19 regiments possible active","60 SS-27 Mod 1 silos(10–20 SS-19 silos)","ActivePossibly activei"
"Teykovo","54th GMD","235th GMR (56.9324, 40.5440)285th GMR (56.8091, 40.1710)321st MR (56.7041, 40.4403)773rd MR (56.9167, 40.3087)","9 SS-27 Mod 1 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 1 TEL9 SS-27 Mod 2 TEL","ActiveActiveActiveActive"
"Uzhur","62nd MD","4 regiments (55.2453, 89.9194)","28 SS-18 silos","Active"
"Vypolsovo","7th GMD","41st MR (57.8620, 33.6500)510th GMR (57.7889, 33.8660)","(9 SS-27 Mod 2 TEL)9 SS-25 TEL","UpgradingjActive"
"Yoshkar-Ola","14th MD","290th MR (56.8328, 48.2370)697th MR (56.5601, 48.2144)779th MR (56.5821, 48.1550)","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"11 Divisionsk"," ","39 regiments","302 ICBMsl46 SS-180 SS-1936 SS-2518 SS-27 Mod 1 mobile60 SS-27 Mod 1 silo126 SS-27 Mod 2 mobile14 SS-27 Mod 2 silo"," "
