"Type/name","Russian designation","Launchers","Year deployed","Warheads x yield (kilotons)","Total warheads"
"Strategic offensive weapons"," "," "," "," "," "
"ICBMs"," "," "," "," "," "
"SS-18 M6 Satan","RS-20V","46","1988","10 x 500/800 (MIRV)","460a"
"SS-19 M3 Stiletto","RS-18 (UR-100NUTTH)","0","1980","6 x 400 (MIRV)","0b"
"SS-19 M4","? (Avangard)","4","2019","1 x HGV","4"
"SS-25 Sickle","RS-12M (Topol)","27","1988","1 x 800","27"
"SS-27 Mod 1 (mobile)","RS-12M1 (Topol-M)","18","2006","1 x 800?","18"
"SS-27 Mod 1 (silo)","RS-12M2 (Topol-M)","60","1997","1 x 800","60"
"SS-27 Mod 2 (mobile)","RS-24 (Yars)","135","2010","4 x 100? (MIRV)","540c"
"SS-27 Mod 2 (silo)","RS-24 (Yars)","20","2014","4 x 100? (MIRV)","80"
"SS-X-29 (silo)","RS-28 (Sarmat)","-","(2022)","10 x 500? (MIRV)","-"
"Subtotal"," ","310"," "," ","1,189d"
"SLBMs"," "," "," "," "," "
"SS-N-18 M1 Stingray","RSM-50","1/16","1978","3 x 50 (MIRV)","48e"
"SS-N-23 M1","RSM-54 (Sineva)","6/96","2007","4 x 100 (MIRV)f","384g"
"SS-N-32","RSM-56 (Bulava)","4/64","2014","6 x 100 (MIRV)","384h"
"Subtotal"," ","11/176i"," "," ","816j"
"Bombers/weapons"," "," "," "," "," "
"Bear-H6/16","Tu-95MS6/MS16/MSM","55","1984/2015","6-16 x AS-15A ALCMsor 14 x AS-23B ALCMs","448"
"Blackjack","Tu-160/M","13","1987/2021","12 x AS-15B ALCMs orAS-23B ALCM, bombs","132"
"Subtotal"," ","68k"," "," ","580l"
"Subtotal strategic offensive forces"," ","554m"," ","2,585n"," "
"Nonstrategic and defensive weapons"," "," "," "," "," "
"ABM/Air/Coastal defense"," "," "," "," "," "
"S-300/S-400 (SA-20/SA-21)"," ","750","1992/2007","1 x low","~290"
"53T6 Gazelle"," ","68","1986","1 x 10","68o"
"SSC-1B Sepal (Redut)"," ","8p","1973","1 x 350","4"
"SSC-5 Stooge (SS-N-26) (K-300P/3M-55)"," ","60","2015","(1 x 10)q","25"
"Land-based air"," "," "," "," "," "
"Bombers/fighters (Tu-22M3(M3M)/Su-24M/Su-34/MiG-31K)"," ","~300","1974-2018","ASMs, ALBM, bombs","~500"
"Ground-based"," "," "," "," "," "
"SS-26 Stone SSM (9K720, Iskander-M)"," ","144","2005","1 x 10-100","70r"
"SSC-7 Southpaw GLCM (R-500/9M728, Iskander-M)s"," "," "," "," "," "
"SSC-8 Screwdriver GLCM (9M729)t"," ","20u","2017","1 x 10-100","20"
"Naval"," "," "," "," "," "
"Submarines/surface ships/air"," "," "," ","LACM, SLCM, ASW, SAM,","~935"
" "," "," "," ","DB, torpedoes"," "
"Subtotal nonstrategic and defensive forces"," "," "," "," ","1,912v"
"TOTAL STOCKPILE"," "," "," "," ","4,497"
"Deployed"," "," "," "," ","1,600"
"Reserve"," "," "," "," ","2,897"
"Retired warheads awaiting dismantlement"," "," "," "," ","1,760"
"Total inventory"," "," "," "," ","6,257"
