"Type/Designation","No.","Year deployed","Warheads x yield (kilotons)","Warheads (total available)1"
"ICBMs"," "," "," "," "
"LGM-30 G Minuteman III"," "," "," "," "
"  Mk-12A","200","1979","1–3 W78 x 335 (MIRV)","6002"
"  Mk-21/SERV","200","20063","1 W87 x 300","2004"
" Total","4005"," "," ","8006"
"SLBMs"," "," "," "," "
"UGM-133A Trident II D5/LE 2407"," "," "," "," "
"  Mk-4A"," ","20088","1–8 W76-1 x 90 (MIRV)","1,5119"
"  Mk-4A"," ","2019","1–2 W76-2 x 8 (MIRV)11","2510"
"  Mk-5"," ","1990","1–8 W88 x 455 (MIRV)","384"
" Total","240"," "," ","1,92012"
"Bombers"," "," "," "," "
"B-52H Stratofortress","87/4413","1961","ALCM/W80-1 x 5–150","528"
"B-2A Spirit","20/16","1994","B61-7 x 10–360/-11 x 400","322"
" "," "," ","B83-1 x low-1,200"," "
" Total","107/6014"," "," ","85015"
"Total strategic forces"," "," "," ","3,570"
"Nonstrategic forces"," "," "," "," "
"F-15E, F-16 DCA","n/a","1979","1–5 B61-3/-4 bombs x 0.3–17016","230"
" Total"," "," "," ","23017"
"Total stockpile"," "," "," ","3,800"
" Deployed"," "," "," ","1,80018"
" Reserve (hedge and spares)"," "," "," ","2,000"
"Retired, awaiting dismantlement"," "," "," ","1,750"
"Total Inventory"," "," "," ","5,550"
